"apt_juso","coord_x","coord_y"
"서울특별시 용산구 이촌동 422 북한강",126.95379465375,37.527307930958
"서울특별시 용산구 이촌동 434 동원베네스트",126.955057305679,37.5269327905
"서울특별시 용산구 동빙고동 1-72 파인힐빌",126.995558578432,37.5276144868192
"서울특별시 용산구 효창동 287 용산롯데캐슬센터포레",126.963314009135,37.5396272338792
"서울특별시 용산구 한강로2가 420 용산푸르지오써밋",126.965305052351,37.5272737608749
"서울특별시 용산구 이태원동 22-2 청화1",126.994806998596,37.529947960527
"서울특별시 용산구 효창동 274 효창파크푸르지오",126.958208884069,37.5401200964413
"서울특별시 용산구 문배동 11-29 이안용산1차",126.970395589933,37.5378847050012
"서울특별시 용산구 한강로2가 2-185 용산아이피아대주피오레",126.968835130754,37.5333865983976
"서울특별시 용산구 한강로2가 417 용산파크e-편한세상",126.970873901839,37.5339990786581
"서울특별시 용산구 산천동 204 한강타운",126.950212860284,37.5357557043381
"서울특별시 용산구 한남동 825 한남파라곤",127.003281312445,37.5391384179097
"서울특별시 용산구 한강로3가 89 쌍용스윗닷홈",126.963955317841,37.5234518459185
"서울특별시 용산구 문배동 40-19 삼라마이다스빌2",126.969048046629,37.5383471132315
"서울특별시 용산구 이촌동 300-17 중앙하이츠",126.977017911658,37.5181277500729
"서울특별시 용산구 후암동 1-10 남산애지앙",126.97814832608,37.5525134852994
"서울특별시 용산구 이태원동 252-1 창덕아파트",126.990773730203,37.5401480340454
"서울특별시 용산구 이촌동 436 래미안첼리투스",126.979990652892,37.5171784532934
"서울특별시 용산구 문배동 11-14 이안용산1차",126.969658257565,37.5374934837145
"서울특별시 용산구 한강로3가 16-85 한강자이에클라트",126.95559975312,37.5315340503681
"서울특별시 용산구 이촌동 300-11 왕궁",126.978241666315,37.5171582318767
"서울특별시 용산구 청파동3가 132-15 베르체",126.963506256197,37.5426325782396
"서울특별시 용산구 한강로1가 50-1 용산파크자이",126.97266226677,37.5366261935205
"서울특별시 용산구 효창동 268 세양청마루",126.956963644418,37.5407488174054
"서울특별시 용산구 원효로1가 41 용산더프라임",126.970096406378,37.5402099307352
"서울특별시 용산구 신계동 48 용산e편한세상",126.966226243946,37.5366288530455
"서울특별시 용산구 한남동 810 한남더힐",127.009490412576,37.5369726180181
"서울특별시 용산구 한남동 684-82 뉴캐슬하우스",127.000860554926,37.5344286604465
"서울특별시 용산구 한강로3가 65-230 한강대우트럼프월드3",126.962953183131,37.5231427622678
"서울특별시 용산구 보광동 260-6 주미",126.999652798237,37.528005784835
